Date,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES
2023-09-11,3.175,4.397,3.69,2.6896912526,48.530874739999994,170.73087474000005,100.03087474
2023-09-12,3.187,4.41,3.701,2.7011827426,48.581725739999996,170.88172574000004,99.98172574000002
2023-09-13,3.203,4.465,3.727,2.7131078162,48.98921837999999,175.18921838,101.38921837999999
2023-09-14,3.127,4.353,3.64,2.6842987583,44.27012416999996,166.87012416999997,95.57012416999999
2023-09-15,3.222,4.467,3.742,2.7349477927,48.70522073000001,173.20522072999998,100.70522073000001
2023-09-18,3.259,4.522,3.788,2.7881726159,47.08273840999997,173.38273841,99.98273840999997
2023-09-19,3.282,4.518,3.799,2.8076747104,47.432528959999985,171.03252895999995,99.13252895999997
2023-09-20,3.24,4.453,3.753,2.7657704991,47.422950090000036,168.72295009000004,98.72295009000003
2023-09-21,3.282,4.547,3.802,2.8225524569,45.94475431,172.44475430999998,97.94475431000001
2023-09-22,3.285,4.59,3.809,2.8196368903,46.53631097000002,177.03631097,98.93631097000002
2023-09-25,3.34,4.652,3.861,2.8669855682,47.30144317999998,178.50144318,99.40144318000002
2023-09-26,3.36,4.73,3.896,2.8708600458,48.913995419999964,185.91399542000002,102.51399541999997
2023-09-27,3.403,4.786,3.94,2.8599938456,54.30061544,192.60061543999996,108.00061543999999
2023-09-28,3.507,4.882,4.039,3.0333501699,47.36498301000003,184.86498300999997,100.56498300999999
2023-09-29,3.415,4.8,3.949,2.8762763259,53.87236740999999,192.37236740999998,107.27236740999997
2023-10-02,3.483,4.812,4.002,2.9328354324,55.01645676,187.91645676000002,106.91645675999996
2023-10-03,3.533,4.932,4.065,2.9641872265,56.88127734999999,196.78127735000004,110.08127735000004
2023-10-04,3.499,4.889,4.032,2.9925401129,50.64598871000001,189.64598871,103.94598871000001
2023-10-05,3.469,4.901,4.007,2.9472925432,52.170745679999975,195.37074567999997,105.97074567999995
2023-10-06,3.484,4.924,4.015,2.9604325215,52.35674785,196.35674785000003,105.45674784999997
