Date,SX5E,VSTOXX,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES,Refi,ret_sx5e,delta_vstoxx,delta_refi,delta_spread_FR,delta_spread_IT,delta_spread_ES
2020-09-21,3160.949951171875,29.88,-0.253,0.941,0.255,-0.5014623559690459,24.846235596904588,144.24623559690457,75.64623559690459,0.0,-0.038095172331987656,7.23,0.0,-0.4502435710153314,0.049756428984665035,0.049756428984679246
2020-09-22,3164.1298828125,28.11,-0.238,0.867,0.236,-0.4839613130422657,24.59613130422657,135.09613130422656,71.99613130422658,0.0,0.0010054993745554424,-1.7699999999999996,0.0,-0.25010429267801726,-9.150104292678009,-3.6501042926780087
2020-09-23,3180.110107421875,27.17,-0.242,0.852,0.23,-0.4806940500421865,23.869405004218653,133.26940500421864,71.06940500421865,0.0,0.00503772191163181,-0.9399999999999977,0.0,-0.7267263000079183,-1.8267263000079197,-0.9267263000079282
2020-09-24,3159.639892578125,28.34,-0.23,0.878,0.25,-0.4881484814058701,25.81484814058701,136.614848140587,73.814848140587,0.0,-0.006457758107874994,1.1699999999999982,0.0,1.9454431363683575,3.3454431363683454,2.745443136368351
2020-09-25,3137.06005859375,27.81,-0.247,0.898,0.25,-0.4963290679447016,24.93290679447016,139.43290679447017,74.63290679447016,0.0,-0.0071719888026307846,-0.5300000000000011,0.0,-0.8819413461168502,2.8180586538831847,0.8180586538831562
2020-09-28,3223.18994140625,26.82,-0.247,0.881,0.25,-0.5001584492716393,25.315844927163933,138.11584492716392,75.01584492716393,0.0,0.027085459946973183,-0.9899999999999984,0.0,0.3829381326937735,-1.3170618673062506,0.3829381326937664
2020-09-29,3214.300048828125,26.9,-0.271,0.855,0.221,-0.5014359738487459,23.04359738487459,135.6435973848746,72.24359738487459,0.0,-0.002761914424021053,0.0799999999999983,0.0,-2.2722475422893424,-2.472247542289324,-2.7722475422893353
2020-09-30,3193.610107421875,26.06,-0.242,0.87,0.25,-0.4953658691276756,25.33658691276756,136.53658691276755,74.53658691276756,0.0,-0.006457647751399907,-0.8399999999999999,0.0,2.2929895278929706,0.8929895278929507,2.2929895278929706
2020-10-01,3194.090087890625,26.54,-0.249,0.833,0.235,-0.4853429582467181,23.63429582467181,131.8342958246718,72.0342958246718,0.0,0.00015028271677675317,0.4800000000000004,0.0,-1.7022910880957518,-4.702291088095734,-2.5022910880957596
2020-10-02,3190.929931640625,26.82,-0.262,0.789,0.222,-0.5066794592273816,24.467945922738156,129.56794592273818,72.86794592273816,0.0,-0.0009898658104028238,0.28000000000000114,0.0,0.8336500980663466,-2.266349901933637,0.8336500980663573
